example_id,current_message,candidate_label (suggested),gold_intent (YOU FILL),ambiguity_flag (yes/no),gold_escalation (AUTO_HANDLE/ESCALATE),notes
GS-0001,its says that my product has delivere but i haven’t received it yet,delivery_status,,,,
GS-0002,its been out for delivery since 9am BLS I need it fuck this fuck amazon prime 😢😢😢 why is every damn package delivery a nightmare these days,delivery_status,,,,
GS-0003,I swear wait till you’re busy to deliver your orders!! I’ve been off all week waiting for my many parcels and I’ll bet anything they arrive when I’m back at work tomorrow!!,delivery_status,,,,
GS-0004,I am still waiting for my Product and your delivery boy is denied to deliver the parcel . Can you pls fix this Issue .😡😡😡😡,delivery_status,,,,
GS-0005,Looks like don't want me to keep using them or renew my #AmazonPrime 1 day shipping takes 4 days.,delivery_status,,,,
GS-0006,"i hv ordered a key board on 4th octobar,amazon showed me delivery will b completed today.but i hv'nt get it yet.worst service.",delivery_status,,,,
GS-0007,What I ordered vs. What i received... Ya nailed it,delivery_status,,,,
GS-0008,Help!! Where’s my package that’s supposed to be arriving today?,delivery_status,,,,
GS-0009,"This is the second time I’ve ordered something from that was shipped with that said it’s been delivered, but ain’t where it said it was left.",delivery_status,,,,
GS-0010,"Dear , my costume is expected to be delivered tomorrow but it's no where near me, if it's not here tomorrow y'all catching this fade.",delivery_status,,,,
GS-0011,SUPER UPSET WITH THE SERVICE AS A PRIME MEMBER. LOSING FAITH IN THIS COMPANY. WAS OFFERED A LOW BALL GIFT CARD FOR APPEASEMENT WHEN I HAVEN'T STILL RECEIVED MY TV AFTER ORDERING FOR THE 2ND TIME,delivery_status,,,,
GS-0012,still trying ti track a non delivery 205-5349810-6471507 please send replacements,delivery_status,,,,
GS-0013,"Okay amazon, why did I not receive the strategy guide as stated with my order, and which I have paid for?",delivery_status,,,,
GS-0014,you tell me my parcel got delivered but no trace of it. Can someone tell me where it is please?,delivery_status,,,,
GS-0015,Order package from with 2 day prime shipping on Tuesday. It's now Friday going into Saturday. Wonder why I pay for prime...,delivery_status,,,,
GS-0016,Soo... prime is a total scam now? One-day delivery doesn't seem to happen ever anymore.,delivery_status,,,,
GS-0017,Thank u 4 givng me nightmares 4 my order delivery and plz thank 'Ecomm' on my behalf Worst service ever. 0* #Amazon #WorstService,delivery_status,,,,
GS-0018,"Thank you Amazon, for being the crappiest delivery company! I'm not ordering from Amazon again!",delivery_status,,,,
GS-0019,There is nothing more satisfying than living in a city where EVERYTHING comes delivered. And in an hour if needed. Thank you #NYC,delivery_status,,,,
GS-0020,item still not delivered Why has it taken 5 days for an amazon prime customer to receive item. I'm now late for a birthday gift,delivery_status,,,,
GS-0021,"trying to cancel an order, go to my orders, go to cancel order and nothing, white screen 😩",order_issue,,,,
GS-0022,can I pay for my COD order using Amazon pay?,order_issue,,,,
GS-0023,Amazon charged me for the full year 😭 I forgot to cancel after the trial,order_issue,,,,
GS-0024,I ordered 2 parcels...they didn’t turn up so I requested a refund this was 10 days ago. When will I be refunded?,order_issue,,,,
GS-0025,Ordered a washing machine as a gift to my MOTHER for Diwali. Been 3days past Diwali and I’m still waiting.,order_issue,,,,
GS-0026,"Respected sir, my account wrongly debited rs 8988 as on 19/10/2017. I ordered for a phone as Neeraj Rohit Mobile 8076940683",order_issue,,,,
GS-0027,"Dear I want tot order Walter Brueggemann's ""Celebrating Abundance: Devotions for Advent"" Kindle Edition. But because I need to order it from amazon.nl it is not available there. HELP! I need it now!",order_issue,,,,
GS-0028,I ordered a mobile from Amazon via exchange offer scheme. Now I want to return mobile. will I get my exchanged phone or money??,order_issue,,,,
GS-0029,I ordered a photo album and it has turned up like this. Absolutely ruined my day 😩😩😩 and now I can't even sent it back!!!!,order_issue,,,,
GS-0030,Had ordered this saree but got some cheap looking one. Need exchange,order_issue,,,,
GS-0031,hey any chance i may be refunded for my canceled order i made last friday?,order_issue,,,,
GS-0032,Seriously ? I order 6 identical washing up bowls and they are all being dispatched as separate orders? My phone is buzzing non-stop!,order_issue,,,,
GS-0033,"Hey , want to bankrupt ? Order tubelights :D Such a big box for a light?",order_issue,,,,
GS-0034,"Hi, as a usually-happy customer, am not very happy today. I ordered 2 books on Monday, Prime 1-day. Now Friday and still not here?",order_issue,,,,
GS-0035,I hvn't receivd my order yet bt the app says othrwise.Hv made multiple calls all i hear is it'll be delivrd tom.Luk into ths ASAP,order_issue,,,,
GS-0036,I forgot to cancel my Amazon Prime subscription and it charged me $99. I’m so hurt 💔,order_issue,,,,
